frequency_hz	dgtd_rcs	model_rcs	abs_error	rel_error	valid
2.683300000e+08	2.524870000e+00	2.797673224e+00	2.728032237e-01	1.080464435e-01	1
2.696600000e+08	2.632790000e+00	2.923936751e+00	2.911467509e-01	1.105848742e-01	1
2.709900000e+08	2.742390000e+00	3.043105681e+00	3.007156809e-01	1.096546009e-01	1
2.723200000e+08	2.855810000e+00	3.152608453e+00	2.967984528e-01	1.039279409e-01	1
2.736500000e+08	2.973810000e+00	3.250120005e+00	2.763100047e-01	9.291447830e-02	1
2.749800000e+08	3.094620000e+00	3.333609622e+00	2.389896222e-01	7.722745352e-02	1
2.763100000e+08	3.213220000e+00	3.401381147e+00	1.881611466e-01	5.855843878e-02	1
2.776400000e+08	3.321380000e+00	3.452104832e+00	1.307248321e-01	3.935858955e-02	1
2.789700000e+08	3.408400000e+00	3.484840397e+00	7.644039662e-02	2.242706156e-02	1
2.803000000e+08	3.462840000e+00	3.499051057e+00	3.621105709e-02	1.045704020e-02	1
2.816300000e+08	3.474560000e+00	3.494608564e+00	2.004856424e-02	5.770101608e-03	1
2.829600000e+08	3.437020000e+00	3.471789448e+00	3.476944765e-02	1.011616099e-02	1
2.842900000e+08	3.349120000e+00	3.431262849e+00	8.214284942e-02	2.452669639e-02	1
2.856200000e+08	3.216200000e+00	3.374070460e+00	1.578704602e-01	4.908602084e-02	1
2.869500000e+08	3.049870000e+00	3.301599180e+00	2.517291802e-01	8.253767546e-02	1
2.882800000e+08	2.866600000e+00	3.215547213e+00	3.489472127e-01	1.217286028e-01	1
2.896100000e+08	2.685300000e+00	3.117884367e+00	4.325843668e-01	1.610934967e-01	1
2.909400000e+08	2.524240000e+00	3.010807402e+00	4.865674025e-01	1.927579796e-01	1
2.922700000e+08	2.398010000e+00	2.896691300e+00	4.986813000e-01	2.079563055e-01	1
2.936000000e+08	2.315060000e+00	2.778037384e+00	4.629773841e-01	1.999850475e-01	1
2.949300000e+08	2.276400000e+00	2.657419276e+00	3.810192763e-01	1.673779987e-01	1
2.962600000e+08	2.275630000e+00	2.537427696e+00	2.617976958e-01	1.150440519e-01	1
2.975900000e+08	2.300340000e+00	2.420615163e+00	1.202751634e-01	5.228582008e-02	1
2.989200000e+08	2.334640000e+00	2.309441701e+00	2.519829946e-02	1.079322699e-02	1
3.002500000e+08	2.362110000e+00	2.206222628e+00	1.558873723e-01	6.599496735e-02	1
3.015800000e+08	2.368810000e+00	2.113079568e+00	2.557304323e-01	1.079573424e-01	1
3.029100000e+08	2.345590000e+00	2.031895732e+00	3.136942676e-01	1.337378943e-01	1
3.042400000e+08	2.289420000e+00	1.964276513e+00	3.251434874e-01	1.420200258e-01	1
3.055700000e+08	2.203510000e+00	1.911516301e+00	2.919936990e-01	1.325129902e-01	1
3.069000000e+08	2.096360000e+00	1.874572354e+00	2.217876464e-01	1.057965457e-01	1
3.082300000e+08	1.979970000e+00	1.854046333e+00	1.259236670e-01	6.359877524e-02	1
